Parent/Guardian,Household Structure,Number of Children,Income Level,Occupation,Work Hours,Evening Childcare Available,Evening Childcare Type,Daycare Closing Time,Emergency Childcare Use,Emergency Childcare Reason,Childcare Needs Beyond Regular Hours,Most Important Features in Childcare,Willingness to Pay Per Hour,Interest in After-Hours Childcare
Parent,Two adult household,1,$50K-$75K,Self-Employed,9 AM - 5 PM,No,Family/Friend,6 PM,Yes,Unavailable Services,Rarely,"['Safety', 'Affordability', 'Qualified Staff', 'Education', 'Flexibility']",$10-$15,Yes
Other,Single,1,$75K-$100K,Healthcare,9 AM - 5 PM,No,Family/Friend,7 PM,No,Unavailable Services,Sometimes,"['Affordability', 'Flexibility', 'Qualified Staff', 'Safety', 'Education']",$5-$10,No
Parent,Extended family living together,3,Above $100K,Retail,9 AM - 5 PM,No,Family/Friend,7 PM,Yes,Unavailable Services,Rarely,"['Affordability', 'Education', 'Safety', 'Flexibility', 'Qualified Staff']",Above $20,No
Parent,Two adult household,2,Below $30K,Healthcare,9 AM - 5 PM,No,Family/Friend,5 PM,Yes,Unavailable Services,Rarely,"['Education', 'Flexibility', 'Qualified Staff', 'Affordability', 'Safety']",$10-$15,No
Parent,Single,1,Above $100K,Education,Shift Work (Rotating),No,None,6 PM,No,Unavailable Services,Very Often,"['Education', 'Affordability', 'Safety', 'Flexibility', 'Qualified Staff']",$10-$15,No
Parent,Single,1,Below $30K,Education,Shift Work (Rotating),No,None,5 PM,Yes,Last-Minute Emergency,Rarely,"['Qualified Staff', 'Education', 'Affordability', 'Flexibility', 'Safety']",$5-$10,Yes
Guardian,Married,1,$30K-$50K,Healthcare,9 AM - 5 PM,No,Family/Friend,6 PM,No,Last-Minute Emergency,Rarely,"['Affordability', 'Education', 'Flexibility', 'Qualified Staff', 'Safety']",$10-$15,Yes
Parent,Single,1,$75K-$100K,Self-Employed,Shift Work (Rotating),Yes,Family/Friend,6 PM,No,Unavailable Services,Sometimes,"['Education', 'Qualified Staff', 'Safety', 'Flexibility', 'Affordability']",Above $20,Yes
Parent,Single,2,$75K-$100K,Retail,9 AM - 5 PM,No,Daycare,6 PM,Yes,Last-Minute Emergency,Sometimes,"['Flexibility', 'Safety', 'Education', 'Qualified Staff', 'Affordability']",$10-$15,Yes
Parent,Single,1,$75K-$100K,Manufacturing,9 AM - 5 PM,No,Family/Friend,7 PM,Yes,Unavailable Services,Often,"['Education', 'Affordability', 'Safety', 'Flexibility', 'Qualified Staff']",$10-$15,Yes
Parent,Single,1,$30K-$50K,Retail,Evening/Night Shifts,No,Family/Friend,6 PM,Yes,Last-Minute Emergency,Rarely,"['Education', 'Safety', 'Flexibility', 'Affordability', 'Qualified Staff']",$5-$10,Yes
Parent,Two adult household,2,Below $30K,Healthcare,9 AM - 5 PM,No,Family/Friend,6 PM,Yes,Unavailable Services,Very Often,"['Affordability', 'Education', 'Qualified Staff', 'Flexibility', 'Safety']",$10-$15,Yes
Guardian,Single,1,Below $30K,Education,9 AM - 5 PM,Yes,Family/Friend,5 PM,No,Unavailable Services,Rarely,"['Affordability', 'Education', 'Flexibility', 'Safety', 'Qualified Staff']",Above $20,No
Parent,Extended family living together,2,Below $30K,Manufacturing,Evening/Night Shifts,No,Babysitter,6 PM,No,Last-Minute Emergency,Often,"['Flexibility', 'Affordability', 'Education', 'Qualified Staff', 'Safety']",$5-$10,Yes
Parent,Single,1,$30K-$50K,Education,9 AM - 5 PM,No,Family/Friend,7 PM,No,Last-Minute Emergency,Often,"['Flexibility', 'Education', 'Affordability', 'Safety', 'Qualified Staff']",$10-$15,No
Parent,Extended family living together,1,$30K-$50K,Education,Flexible/Remote,No,Daycare,5 PM,No,Last-Minute Emergency,Rarely,"['Qualified Staff', 'Safety', 'Flexibility', 'Education', 'Affordability']",$5-$10,Yes
Parent,Married,2,Below $30K,Education,Shift Work (Rotating),Yes,Family/Friend,6 PM,No,Last-Minute Emergency,Sometimes,"['Safety', 'Qualified Staff', 'Education', 'Flexibility', 'Affordability']",$15-$20,Yes
Parent,Married,1,Below $30K,Healthcare,9 AM - 5 PM,No,Family/Friend,7 PM,Yes,Unavailable Services,Sometimes,"['Qualified Staff', 'Flexibility', 'Affordability', 'Education', 'Safety']",$10-$15,No
Guardian,Two adult household,1,Below $30K,IT/Tech,9 AM - 5 PM,Yes,Babysitter,5 PM,Yes,Unavailable Services,Rarely,"['Affordability', 'Qualified Staff', 'Education', 'Safety', 'Flexibility']",$10-$15,No
Parent,Married,1,$30K-$50K,Healthcare,9 AM - 5 PM,No,None,5 PM,Yes,Unavailable Services,Sometimes,"['Education', 'Flexibility', 'Affordability', 'Qualified Staff', 'Safety']",$5-$10,No
Parent,Married,1,$50K-$75K,Self-Employed,9 AM - 5 PM,No,Babysitter,7 PM,No,Unavailable Services,Rarely,"['Flexibility', 'Qualified Staff', 'Safety', 'Affordability', 'Education']",$5-$10,Yes
Parent,Single,1,$75K-$100K,Self-Employed,Shift Work (Rotating),No,None,7 PM,No,Last-Minute Emergency,Often,"['Affordability', 'Safety', 'Flexibility', 'Qualified Staff', 'Education']",$10-$15,No
Guardian,Married,2,$30K-$50K,Education,9 AM - 5 PM,No,Family/Friend,6 PM,Yes,Unavailable Services,Sometimes,"['Education', 'Safety', 'Qualified Staff', 'Affordability', 'Flexibility']",$5-$10,No
Parent,Single,4,$30K-$50K,Education,Flexible/Remote,No,Babysitter,8 PM,No,Unavailable Services,Rarely,"['Flexibility', 'Affordability', 'Safety', 'Education', 'Qualified Staff']",$15-$20,Yes
Other,Married,1,Below $30K,Healthcare,Evening/Night Shifts,No,Family/Friend,6 PM,Yes,Unavailable Services,Very Often,"['Affordability', 'Education', 'Flexibility', 'Safety', 'Qualified Staff']",$15-$20,Yes
Parent,Two adult household,3,$30K-$50K,Education,9 AM - 5 PM,Yes,None,5 PM,No,Last-Minute Emergency,Often,"['Qualified Staff', 'Affordability', 'Safety', 'Flexibility', 'Education']",$5-$10,No
Parent,Single,2,$30K-$50K,Self-Employed,Shift Work (Rotating),No,None,8 PM,No,Unavailable Services,Rarely,"['Flexibility', 'Education', 'Qualified Staff', 'Safety', 'Affordability']",Above $20,Yes
Parent,Two adult household,1,$75K-$100K,Education,Flexible/Remote,No,Babysitter,6 PM,No,Last-Minute Emergency,Sometimes,"['Safety', 'Qualified Staff', 'Flexibility', 'Education', 'Affordability']",$15-$20,Yes
Parent,Married,3,Above $100K,Education,Evening/Night Shifts,No,Family/Friend,6 PM,No,Unavailable Services,Rarely,"['Safety', 'Qualified Staff', 'Education', 'Affordability', 'Flexibility']",$10-$15,No
Parent,Single,2,Below $30K,Self-Employed,Evening/Night Shifts,No,Family/Friend,5 PM,No,Unavailable Services,Often,"['Qualified Staff', 'Affordability', 'Safety', 'Flexibility', 'Education']",$15-$20,Yes
Parent,Two adult household,1,Below $30K,IT/Tech,9 AM - 5 PM,No,Daycare,8 PM,Yes,Last-Minute Emergency,Rarely,"['Flexibility', 'Safety', 'Qualified Staff', 'Affordability', 'Education']",Above $20,Yes
Parent,Married,2,$30K-$50K,Education,Shift Work (Rotating),No,Babysitter,8 PM,No,Unavailable Services,Rarely,"['Education', 'Flexibility', 'Affordability', 'Qualified Staff', 'Safety']",$5-$10,No
Parent,Married,2,Below $30K,Self-Employed,Flexible/Remote,Yes,Daycare,8 PM,Yes,Last-Minute Emergency,Very Often,"['Affordability', 'Education', 'Flexibility', 'Safety', 'Qualified Staff']",$15-$20,No
Guardian,Prefer not to say,1,Below $30K,Healthcare,9 AM - 5 PM,No,Babysitter,5 PM,Yes,Last-Minute Emergency,Sometimes,"['Safety', 'Qualified Staff', 'Education', 'Flexibility', 'Affordability']",$10-$15,No
Parent,Two adult household,1,Above $100K,Retail,Shift Work (Rotating),Yes,Daycare,6 PM,No,Last-Minute Emergency,Sometimes,"['Affordability', 'Education', 'Safety', 'Flexibility', 'Qualified Staff']",$10-$15,Yes
Parent,Single,2,Above $100K,Education,Shift Work (Rotating),No,Daycare,5 PM,No,Last-Minute Emergency,Sometimes,"['Affordability', 'Qualified Staff', 'Education', 'Flexibility', 'Safety']",$5-$10,Yes
Parent,Married,1,$30K-$50K,Manufacturing,9 AM - 5 PM,No,Family/Friend,6 PM,No,Unavailable Services,Often,"['Qualified Staff', 'Affordability', 'Safety', 'Flexibility', 'Education']",$5-$10,No
Parent,Single,1,$30K-$50K,Education,9 AM - 5 PM,Yes,Babysitter,6 PM,Yes,Last-Minute Emergency,Rarely,"['Safety', 'Qualified Staff', 'Education', 'Affordability', 'Flexibility']",$15-$20,Yes
Parent,Married,2,Below $30K,Retail,9 AM - 5 PM,No,Family/Friend,6 PM,No,Unavailable Services,Rarely,"['Safety', 'Affordability', 'Qualified Staff', 'Flexibility', 'Education']",$10-$15,Yes
Parent,Married,2,$30K-$50K,Retail,9 AM - 5 PM,Yes,Family/Friend,6 PM,Yes,Unavailable Services,Rarely,"['Flexibility', 'Affordability', 'Education', 'Qualified Staff', 'Safety']",Above $20,No
Parent,Married,3,Below $30K,Manufacturing,Flexible/Remote,Yes,Daycare,8 PM,No,Unavailable Services,Often,"['Affordability', 'Flexibility', 'Education', 'Safety', 'Qualified Staff']",$5-$10,Yes
Parent,Married,4,$50K-$75K,Retail,9 AM - 5 PM,Yes,Family/Friend,5 PM,No,Last-Minute Emergency,Sometimes,"['Flexibility', 'Education', 'Qualified Staff', 'Affordability', 'Safety']",$15-$20,Yes
Parent,Married,2,$75K-$100K,Education,9 AM - 5 PM,Yes,None,7 PM,No,Last-Minute Emergency,Sometimes,"['Flexibility', 'Affordability', 'Safety', 'Qualified Staff', 'Education']",$15-$20,Yes
Parent,Married,3,$30K-$50K,Healthcare,Flexible/Remote,No,None,6 PM,No,Unavailable Services,Rarely,"['Flexibility', 'Safety', 'Affordability', 'Education', 'Qualified Staff']",$15-$20,Yes
Parent,Two adult household,2,$30K-$50K,Healthcare,Shift Work (Rotating),No,None,5 PM,Yes,Last-Minute Emergency,Sometimes,"['Affordability', 'Education', 'Safety', 'Flexibility', 'Qualified Staff']",$5-$10,Yes
Parent,Married,1,$75K-$100K,Retail,9 AM - 5 PM,No,Babysitter,5 PM,Yes,Unavailable Services,Rarely,"['Qualified Staff', 'Safety', 'Flexibility', 'Education', 'Affordability']",$5-$10,Yes
Parent,Married,3,Above $100K,Education,Evening/Night Shifts,No,None,5 PM,No,Unavailable Services,Sometimes,"['Affordability', 'Education', 'Safety', 'Qualified Staff', 'Flexibility']",$5-$10,Yes
Parent,Married,3,Below $30K,Healthcare,9 AM - 5 PM,No,Family/Friend,5 PM,No,Unavailable Services,Rarely,"['Education', 'Qualified Staff', 'Safety', 'Flexibility', 'Affordability']",$10-$15,Yes
Parent,Married,1,$75K-$100K,Healthcare,9 AM - 5 PM,No,Family/Friend,5 PM,Yes,Unavailable Services,Rarely,"['Safety', 'Flexibility', 'Affordability', 'Education', 'Qualified Staff']",$5-$10,No
Parent,Married,1,$75K-$100K,Manufacturing,9 AM - 5 PM,No,None,7 PM,No,Last-Minute Emergency,Often,"['Affordability', 'Education', 'Qualified Staff', 'Flexibility', 'Safety']",$5-$10,Yes
Parent,Married,2,$75K-$100K,IT/Tech,Evening/Night Shifts,No,None,7 PM,No,Last-Minute Emergency,Rarely,"['Affordability', 'Safety', 'Education', 'Flexibility', 'Qualified Staff']",$5-$10,Yes
Parent,Single,1,$30K-$50K,Healthcare,Evening/Night Shifts,No,None,5 PM,Yes,Last-Minute Emergency,Rarely,"['Qualified Staff', 'Affordability', 'Safety', 'Flexibility', 'Education']",$5-$10,No
Other,Two adult household,1,Below $30K,Healthcare,9 AM - 5 PM,Yes,Babysitter,8 PM,No,Unavailable Services,Sometimes,"['Qualified Staff', 'Education', 'Flexibility', 'Affordability', 'Safety']",$10-$15,No
Parent,Single,2,$50K-$75K,Manufacturing,9 AM - 5 PM,Yes,Babysitter,5 PM,Yes,Unavailable Services,Often,"['Safety', 'Qualified Staff', 'Education', 'Affordability', 'Flexibility']",$10-$15,No
Parent,Single,2,Above $100K,Education,Shift Work (Rotating),No,Family/Friend,6 PM,Yes,Unavailable Services,Often,"['Affordability', 'Flexibility', 'Qualified Staff', 'Safety', 'Education']",$15-$20,Yes
Parent,Extended family living together,2,Below $30K,IT/Tech,9 AM - 5 PM,No,Family/Friend,6 PM,No,Unavailable Services,Often,"['Qualified Staff', 'Flexibility', 'Safety', 'Education', 'Affordability']",$10-$15,No
Parent,Married,3,Above $100K,Healthcare,Shift Work (Rotating),Yes,None,6 PM,No,Last-Minute Emergency,Often,"['Safety', 'Qualified Staff', 'Flexibility', 'Affordability', 'Education']",$5-$10,No
Parent,Married,1,$30K-$50K,Manufacturing,9 AM - 5 PM,No,Family/Friend,6 PM,Yes,Unavailable Services,Rarely,"['Flexibility', 'Qualified Staff', 'Education', 'Safety', 'Affordability']",Above $20,Yes
Parent,Married,1,$75K-$100K,Retail,Evening/Night Shifts,Yes,Family/Friend,6 PM,No,Last-Minute Emergency,Rarely,"['Qualified Staff', 'Affordability', 'Safety', 'Education', 'Flexibility']",$10-$15,No
